Nome,Filial,Departamento
IPMJP - DAF - Seção de Folha de Beneficios,IPMJP,Seção de Folha de Beneficios
IPMJP - DAF - Setor de Atendimento,IPMJP,Setor de Atendimento
IPMJP - DAF - Setor de Contabilidade e Orcamento,IPMJP,Setor de Contabilidade e Orcamento
IPMJP - DAF - Setor de Compras e Contratos,IPMJP,Setor de Compras e Contratos
IPMJP - DTI - Setor de Suporte,IPMJP,Setor de Suporte
IPMJP - DAF - Setor de Almoxarifado,IPMJP,Setor de Almoxarifado
IPMJP - DIPREV - Setor de Analise de Beneficios,IPMJP,Setor de Analise de Beneficios
IPMJP - OUVID - Balcao de Ouvidoria,IPMJP,Balcao de Ouvidoria
IPMJP - DIPREV - Setor de Manutencao de Cadastro,IPMJP,Setor de Manutencao de Cadastro
IPMJP - DIPREV - Setor de Concessao,IPMJP,Setor de Concessao
IPMJP - ASJUR - Seção Juridica Contenciosa,IPMJP,Seção Juridica Contenciosa
IPMJP - GAB - Secretaria de Gabinete,IPMJP,Secretaria de Gabinete
IPMJP - DAF - Setor de Financas,IPMJP,Setor de Financas
IPMJP - DTI - Seção de Gestao de TI - Data Center,IPMJP,Seção de Gestao de TI - Data Center
IPMJP - DAF - Seção de Gestao de Pessoal,IPMJP,Seção de Gestao de Pessoal
IPMJP - DIPREV - Seção de Compensacao Previdenciaria,IPMJP,Seção de Compensacao Previdenciaria
IPMJP - JUNTA - Sala de Pericia Medica,IPMJP,Sala de Pericia Medica
ipmjp - diprev - setor de analise de beneficios,IPMJP,Setor de Patrimonio
IPMJP - DIPREV - Setor de Arquivo,IPMJP,Setor de Arquivo
IPMJP - DTI - Seção de Desenvolvimento,IPMJP,Seção de Desenvolvimento
